PID	Status	Label
671	0	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
563	0	com.apple.sirittsd
4412	0	com.apple.dprivacyd
454	0	com.apple.usernoted
706	0	com.apple.geodMachServiceBridge
-	0	com.apple.Safari.History
56830	0	com.apple.translationd
-	0	com.apple.AddressBook.abd
429	0	com.apple.calaccessd
4465	0	com.apple.managedcorespotlightd.129D60B9-721B-1EC2-A588-80CD573BF020
-	0	com.apple.ScreenReaderUIServer
-	0	com.apple.newsd
559	0	com.epson.eventmanager.agent
-	0	com.apple.systemsettingsagent
560	0	com.apple.swcd
653	0	com.apple.AirPlayUIAgent
4073	0	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.shazamd
510	0	com.apple.corespotlightd
604	0	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
466	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
15651	0	application.com.apple.Family.1152921500312071726.1152921500312071735
522	0	com.apple.Spotlight
710	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
769	0	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
897	0	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
545	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
-	0	com.apple.WorkflowKit.ShortcutsViewService
394	0	com.apple.carboncore.csnameddata
839	0	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
371	0	com.apple.distnoted.xpc.agent
1436	0	com.apple.SetStoreUpdateService
505	0	com.apple.geod
